car_vin,car_make,car_model,car_year,car_color,car_price,car_mileage,car_condition,car_owner,car_location
WAUED64B21N792100,GMC,1500 Club Coupe,1998,green,481871.22,209540,good,Page Finicj,69504 Morningstar Place
JTDKN3DP7F3325948,Dodge,Ram Van 2500,1999,white,20079.67,77654,fair,Berni Jobern,51 Oxford Crossing
JN1CV6FE9DM409071,Subaru,Legacy,1996,red,605028.9,462212,fair,,30 Pankratz Circle
1FTWW3B52AE843296,Dodge,Caravan,2007,red,861804.3,215139,good,Candida Fairest,83117 Mallard Terrace
2G4WC582691692637,Chevrolet,Astro,1994,black,508564.51,81295,excellent,Myrna Gentiry,6230 Southridge Junction
1C6RD6FK7CS479332,Lexus,,2006,white,263597.91,103856,poor,Case Winslade,64963 Express Drive
WAUDGAFL8DA923814,Mazda,Miata MX-5,2012,red,791286.35,51638,good,,21 Warner Avenue
5LMJJ2H54EE183970,Ford,F250,2009,black,332716.11,390048,poor,Cassie Sandry,73443 American Ash Hill
2G4WF551921445511,Volvo,,1993,red,267918.87,20942,fair,Charlotte Chater,9617 Bobwhite Lane
2G4GN5EX3E9385789,Chrysler,Town & Country,2007,black,830307.6,400811,good,Aleda Barnfield,16097 Mcbride Center
1FMCU0E75AK127901,Chevrolet,Silverado 1500,2006,black,521414.39,190970,fair,Marje Doveston,24 Hoard Point
KMHGC4DD1CU602215,Chevrolet,Lumina APV,1993,green,119451.63,366196,excellent,Rooney Thirkettle,
3C63DPHL4CG815771,Plymouth,Voyager,1994,white,377292.74,295845,good,Charyl Titcom,
2HNYD18614H629395,Mercedes-Benz,SLK-Class,1999,white,544024.34,176673,poor,Gilberte Lattka,
JTHBE1BL9F1513837,Mercury,Mountaineer,2004,blue,573952.02,26340,good,Bob Canas,83185 Jackson Terrace
WAUMF68P76A818698,Nissan,Murano,2007,green,71249.26,228713,fair,Graham Excell,0247 Montana Terrace
2C4RRGAG8ER275419,Suzuki,Vitara,1999,red,558585.45,279161,excellent,Jemie Lobley,4 Buena Vista Hill
NM0KS6AN4AT593911,Nissan,Pathfinder,2001,white,943828.24,493286,good,Todd McLellan,6 Florence Court
WBA3B1C52EF459813,Saab,9-5,2006,blue,808997.56,259941,excellent,Patin Boodell,
WAU2GBFC8DN561263,Buick,Roadmaster,1994,green,22726.59,59721,fair,Madlin Marcone,4 Merrick Junction
WAULT58E75A915279,Chevrolet,Impala SS,1995,green,949849.07,329971,good,Breena Guillon,70668 Michigan Alley
WBAPK53579A961146,Saab,9-5,2006,red,359517.73,353114,excellent,Ursula Gooderick,036 Morrow Park
WAUBH74F47N548778,Audi,A5,2008,black,21651.31,411567,poor,Webster Leather,7717 Orin Hill
1N6AD0CU4FN248848,Ford,Explorer,2006,green,117881.53,334157,fair,,1 Anniversary Avenue
19XFB2E56CE486698,Chevrolet,Tahoe,1996,blue,528767.75,158490,good,Harriett Wrotchford,388 Muir Terrace
WAUJC68E34A204206,Honda,CR-V,2003,red,977781.48,193196,excellent,Madelle Rackley,47 Leroy Road
1G6KD57Y67U399220,Cadillac,Fleetwood,1992,white,861033.18,258281,excellent,Iona Maghull,93584 Fairview Plaza
WUAAU342X8N155985,Mercedes-Benz,S-Class,2008,red,267465.65,88096,fair,Sherman Sukbhans,62564 Milwaukee Court
WAUKF68E95A685754,Hyundai,Accent,2005,white,600729.37,347365,excellent,Madella Lowde,254 Raven Circle
1GYUCKEF8AR650848,Mitsubishi,GTO,1995,black,171559.81,437915,poor,Cammi Matthias,62191 Hermina Point
2D4RN7DG4BR134336,Oldsmobile,LSS,1998,red,466431.85,70017,fair,Elie Baukham,
YV1672MK8B2371454,Mazda,Millenia,2001,red,971061.38,450296,fair,Micheal Skepper,69336 Upham Center
WAUMF68P76A592906,Mitsubishi,Mirage,1995,blue,240680.54,212338,poor,Vanessa Chastenet,530 Elmside Park
1G6DM57N230773001,Chevrolet,Impala,2002,red,812239.62,439924,good,Constance Bottomley,66721 Green Ridge Court
19UUA9F28CA857503,Volkswagen,Golf,2003,blue,862680.99,364080,poor,,080 Forster Plaza
3VW1K7AJ0DM180806,Toyota,FJ Cruiser,2012,black,419125.35,117681,good,Andy Fiddler,7457 Hollow Ridge Point
WBANA73515C706402,Hyundai,Santa Fe,2001,green,334557.49,187097,excellent,Daniella Cissen,1361 Drewry Terrace
YV1612FS3E2984164,GMC,Yukon,2005,blue,229879.39,251921,poor,Gwyneth Duck,958 Portage Park
WBXPC93488W940261,Pontiac,1000,1984,black,806719.49,373105,poor,Jessalyn Maleham,
WBA3B1C58EF866308,Acura,RL,1997,red,831316.88,301893,fair,Willdon Murtell,5210 Atwood Junction
1GYS3BEFXCR671162,Toyota,FJ Cruiser,2008,red,586155.85,136825,poor,Guillaume Leguay,4 Barnett Avenue
5N1AN0NW0DN663494,Ford,,1995,black,459840.55,452294,poor,Aland Hankin,6126 Esch Center
WAUPFBFM1BA794102,Infiniti,G37,2012,green,982110.22,293832,poor,Nadia Jerrans,025 Hauk Center
KMHGH4JH3EU002985,Chevrolet,Corvette,1961,white,686745.2,252639,poor,,5 Victoria Road
1G4HP57M49U514259,Toyota,Tacoma,2001,green,359472.22,93242,poor,Emma Domenichini,2 Bunting Way
1GYFC435X9R486027,Maserati,Karif,1990,blue,303301.51,168793,poor,Bekki Venediktov,2158 Ruskin Hill
1GKS1AEC9FR481051,Toyota,Supra,1994,red,783894.48,365216,poor,Mignon Macer,1 Maryland Road
1G6DL8ED9B0227860,Geo,Storm,1993,red,865567.6,27407,excellent,Juliana Lenormand,90569 Pleasure Trail
1HGCR2E74FA010376,Pontiac,Grand Prix,1992,green,23581.89,88705,excellent,Cora Jenoure,311 Butterfield Street
SAJWA4HA6EM405731,GMC,Sierra 3500,2008,white,504976.6,82204,excellent,Michaeline Just,818 Grasskamp Park
WBAKA4C50BC563164,Audi,S4,2008,blue,815964.69,32490,fair,,
1C3CCBAB6CN373670,Audi,S8,2003,black,358286.15,234191,excellent,Wainwright Probate,2873 Mcbride Road
4T1BF3EK8BU198708,Suzuki,Grand Vitara,2010,black,529020.52,287775,fair,Christie Dowbekin,6 Bartillon Junction
1FTEW1C85AF037939,Smart,Fortwo,2011,green,843640.93,490873,good,Hercules Lamp,8556 Waubesa Junction
1N6AF0LY4EN537207,Hyundai,Sonata,2000,white,29934.26,337121,poor,Elmore Hyndley,005 Kim Place
5N1BA0NE3FN913742,Ford,Expedition EL,2009,blue,834115.7,198385,excellent,Sylvester Hartin,1 Nova Terrace
WA1LFAFP6EA587189,GMC,Suburban 2500,1997,green,421241.63,410037,excellent,Gretel Cottrill,
5UXZV4C51CL456758,GMC,Savana 2500,2001,blue,126991.7,220778,poor,Fancie Kittless,8571 Fairfield Alley
WAUHGAFC9DN221348,Ford,F250,2006,blue,288431.11,256667,fair,Orton Kepp,8 Pond Place
5N1AR2MM4DC456117,Lexus,LX,2007,white,821055.61,237068,good,Parsifal Lankester,17 Delladonna Circle
5N1AN0NW4DN557291,Chevrolet,Colorado,2004,red,335891.3,155984,fair,Jorey Whebell,412 Merrick Point
3C63D2JL1CG137669,Toyota,Camry,2001,black,314212.48,257812,excellent,Tilda Benyan,81 Dixon Drive
3CZRE3H39AG395425,Maserati,Spyder,2004,black,41514.35,35322,fair,Aveline Wardhaw,5 Burning Wood Alley
1YVHZ8BH5A5309181,Aston Martin,Vanquish S,2005,green,288395.51,125238,fair,Mar Moukes,98 Roth Center
WAUEKBFB3BN906182,Cadillac,XLR,2005,red,746327.01,76332,good,Aldin Chalfont,732 Lotheville Plaza
1GYS4HKJ9FR452853,Audi,Allroad,2001,white,822982.88,405173,excellent,Vannie McGloughlin,435 Esch Way
WAUHFAFL6CA342556,Mazda,B2500,2001,white,110664.08,30250,good,Tammie Rosenau,8 Ronald Regan Point
JTDBT4K33A1355433,Toyota,Celica,1976,red,866652.37,399715,good,,7560 Judy Drive
1GYS3JEF1CR786887,Mazda,626,1990,black,436895.44,484492,excellent,Mervin Westoff,43646 Chinook Center
JN1CV6FEXDM375254,Porsche,911,1991,blue,215188.85,298441,good,Morris Meneyer,1149 Lyons Terrace
1GYS4HEF6ER864847,Mercury,Mariner,2010,red,772841.74,302766,good,Riley Jillings,
WAUGL98E35A820520,Subaru,XT,1991,blue,418674.12,78720,poor,Michelle Whenman,61 Macpherson Alley
WAUSF98E07A017104,Dodge,,1997,green,917948.06,437451,poor,Catharina Petrello,
JTEBU4BF6AK317479,Dodge,Caravan,1993,blue,521097.71,424273,good,,09613 Muir Street
WBALM53569E769539,Hyundai,Sonata,2010,black,120033.46,309228,good,Dyan Dreher,
WBA3C1G50EN204221,Mitsubishi,Outlander,2004,white,875406.45,292097,fair,Stanford Cornels,
SCFEBBCF6BG067791,Toyota,RAV4,1997,green,725665.71,123238,poor,Riannon Birtwistle,8 Fuller Hill
3GYFNDE34ES516734,BMW,5 Series,1994,white,900634.7,154006,fair,Rozina Evans,57 Hansons Park
2T2BK1BA5DC933608,Infiniti,IPL G,2011,red,109201.06,357566,poor,Sherlocke VanBrugh,678 Northwestern Parkway
5N1AR2MM2FC391951,MINI,Cooper,2003,white,77860.41,1307,excellent,Eirena Mc Meekan,9 Fairfield Crossing
4A31K2DF8CE887540,Audi,4000s Quattro,1986,white,537283.0,245075,poor,Bengt Egiloff,69 Golf Plaza
SALAB2V63FA775279,Mazda,MPV,2005,red,267519.51,481007,fair,Pauletta Melledy,44 Sycamore Alley
